Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner,Engine_CC,Mileage,Seats,Price
Tata,2016,10164,CNG,Automatic,2,1998,16.3,5,529000
Hyundai,2015,114475,CNG,Automatic,1,1197,22.1,5,294000
Tata,2024,35298,Diesel,Automatic,1,998,13.3,5,832000
Tata,2019,110066,CNG,Automatic,1,1197,13.2,5,417000
Honda,2024,89829,Petrol,Automatic,1,1998,24.4,5,1095000
Kia,2019,28969,Petrol,Automatic,1,1998,15.5,7,998000
Ford,2024,109452,Petrol,Manual,1,998,24.8,5,639000
Ford,2023,68265,CNG,Automatic,1,1598,22.1,5,851000
Honda,2021,68979,Petrol,Automatic,1,1197,15.4,5,820000
Mahindra,2023,99866,CNG,Manual,3,1497,18.7,5,856000
Toyota,2021,50318,CNG,Automatic,1,2198,23.6,5,1269000
Honda,2022,116259,Diesel,Automatic,2,1197,21.8,5,818000
Kia,2018,11599,CNG,Manual,1,1598,17.2,5,836000
Volkswagen,2021,110022,CNG,Automatic,1,1998,17.8,5,860000
Maruti,2015,57879,Diesel,Manual,1,998,22.7,5,250000
Mahindra,2017,90799,CNG,Automatic,3,1497,22.7,5,617000
Kia,2022,105586,CNG,Automatic,1,1497,21.3,5,929000
Toyota,2014,49742,Diesel,Automatic,1,1497,21.1,5,818000
Volkswagen,2016,112720,CNG,Automatic,1,1248,14.4,7,436000
Volkswagen,2017,98950,Diesel,Manual,2,998,24.0,5,492000
Volkswagen,2024,82242,CNG,Manual,3,998,18.9,5,853000
Ford,2023,68298,CNG,Manual,1,1199,21.5,5,674000
Ford,2024,83714,CNG,Automatic,1,1598,17.4,5,798000
Ford,2019,43557,Diesel,Manual,1,2198,15.9,5,665000
Toyota,2017,32487,CNG,Automatic,1,1199,24.8,5,1035000
Mahindra,2024,47255,CNG,Manual,2,2198,18.2,7,1165000
Mahindra,2018,116057,Diesel,Manual,1,998,17.0,5,591000
Maruti,2017,39993,Petrol,Automatic,1,1199,22.9,5,421000
Mahindra,2014,52013,Diesel,Manual,1,2198,23.2,7,618000
Mahindra,2018,95824,CNG,Manual,2,1598,17.4,5,645000
Maruti,2014,102474,Diesel,Manual,1,1998,22.8,5,237000
Mahindra,2023,30751,CNG,Manual,1,1199,24.8,5,1027000
Honda,2022,20643,Diesel,Manual,1,2198,15.4,5,1127000
Tata,2014,48327,Diesel,Manual,1,1497,19.8,5,357000
Renault,2022,51934,Petrol,Automatic,1,1199,18.8,5,730000
Mahindra,2022,57876,Petrol,Automatic,1,1248,20.6,5,975000
Tata,2017,103652,CNG,Automatic,3,998,13.5,5,284000
Toyota,2024,85439,CNG,Manual,3,1497,17.0,5,1175000
Tata,2022,99892,Diesel,Manual,2,1497,18.7,7,653000
Maruti,2018,90397,Petrol,Automatic,1,1197,14.2,5,387000
Hyundai,2017,92862,CNG,Manual,2,1598,22.9,5,472000
Ford,2024,112053,Petrol,Manual,1,1497,12.5,5,626000
Honda,2018,78149,Petrol,Manual,2,1598,17.0,7,663000
Kia,2014,56052,CNG,Manual,1,1197,21.8,5,501000
Kia,2022,18911,Diesel,Automatic,1,1396,21.9,7,1140000
Ford,2024,9039,Diesel,Manual,1,1199,21.7,5,928000
Honda,2018,93773,CNG,Automatic,3,998,19.2,5,545000
Maruti,2014,80067,CNG,Automatic,1,1197,16.0,5,150000
Ford,2024,116602,CNG,Manual,1,1248,20.0,5,643000
Hyundai,2016,92946,CNG,Manual,2,2198,18.0,5,432000
Hyundai,2018,17871,Petrol,Automatic,3,1497,13.7,5,577000
Tata,2023,14149,Petrol,Automatic,1,1497,20.0,5,974000
Honda,2023,79299,Diesel,Automatic,3,1199,12.1,5,861000
Ford,2018,115114,Diesel,Manual,1,1497,23.4,7,406000
Kia,2018,68828,CNG,Manual,1,1197,22.9,5,762000
Toyota,2018,101147,CNG,Manual,1,998,23.0,5,880000
Renault,2020,105820,CNG,Manual,2,2198,15.4,7,561000
Honda,2019,56445,Petrol,Automatic,1,2198,18.6,7,918000
Mahindra,2014,91858,Petrol,Manual,2,1199,17.8,5,389000
Renault,2024,119320,Petrol,Automatic,2,998,14.8,7,601000
Hyundai,2018,53422,Petrol,Manual,1,2198,23.8,5,698000
Volkswagen,2021,11086,Petrol,Automatic,1,2198,20.2,5,1063000
Renault,2022,79732,Petrol,Automatic,1,1497,19.6,5,727000
Tata,2020,34215,CNG,Automatic,1,1497,18.3,7,763000
Maruti,2022,23214,Diesel,Manual,1,2198,20.4,5,790000
Honda,2016,52477,CNG,Manual,1,1598,22.5,5,673000
Volkswagen,2021,32617,CNG,Manual,1,1598,12.3,5,841000
Renault,2023,26119,Petrol,Manual,2,1199,12.7,5,690000
Mahindra,2020,83558,CNG,Manual,2,1396,24.3,5,777000
Renault,2021,118679,Diesel,Manual,1,1598,19.8,5,581000
Mahindra,2018,26983,CNG,Automatic,2,1197,15.0,7,718000
Hyundai,2014,31522,CNG,Automatic,2,1197,14.3,5,388000
Mahindra,2015,17214,Diesel,Manual,2,2198,22.8,7,743000
Ford,2019,119664,Petrol,Automatic,1,1998,22.3,7,534000
Renault,2023,17807,Diesel,Manual,1,1248,23.8,5,826000
Renault,2022,58562,Diesel,Manual,1,998,19.5,5,669000
Maruti,2020,90792,Petrol,Automatic,1,1197,14.0,5,447000
Mahindra,2020,79012,Diesel,Automatic,3,1598,21.8,7,836000
Mahindra,2021,28425,Diesel,Automatic,1,1396,19.5,7,972000
Hyundai,2017,63536,CNG,Manual,1,2198,17.2,5,611000
Renault,2024,97640,Petrol,Manual,1,998,22.5,5,700000
Renault,2020,16552,Petrol,Automatic,1,1197,19.9,7,694000
Renault,2024,73289,Diesel,Manual,2,1199,20.3,7,676000
Toyota,2024,110370,CNG,Automatic,1,2198,18.7,5,1368000
Honda,2024,9726,Diesel,Manual,1,1199,13.1,5,1103000
Kia,2024,56792,Diesel,Manual,1,1197,23.9,5,1134000
Renault,2019,50544,Diesel,Manual,1,1248,17.9,7,550000
Maruti,2018,27942,Diesel,Manual,1,2198,15.8,5,585000
Tata,2022,111580,CNG,Automatic,1,1598,19.3,5,701000
Volkswagen,2024,65387,CNG,Manual,1,1396,12.9,5,991000
Toyota,2019,59057,Diesel,Manual,1,1396,15.2,5,1014000
Kia,2015,77686,Petrol,Automatic,1,1248,23.6,5,592000
Toyota,2021,101614,Petrol,Manual,1,1396,14.7,5,1007000
Renault,2019,25446,Petrol,Manual,2,1998,20.0,5,643000
